Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Complex Method,Cyclomatic complexity of the method is 11,481,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Magic Number,The method contains a magic number: 3,481,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Magic Number,The method contains a magic number: 2,481,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getPublicMethod,Long Statement,The length of the statement "throw new NoSuchMethodException("Can't find a public method for " + methodName + " "+ ArrayUtils.toString(parameterTypes));" is 123.,846,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Complex Method,Cyclomatic complexity of the method is 18,1313,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Long Statement,The length of the statement "return Integer.TYPE.equals(toClass) || Long.TYPE.equals(toClass) || Float.TYPE.equals(toClass)|| Double.TYPE.equals(toClass);" is 125.,1313,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Long Statement,The length of the statement "return Short.TYPE.equals(toClass) || Integer.TYPE.equals(toClass) || Long.TYPE.equals(toClass)|| Float.TYPE.equals(toClass)|| Double.TYPE.equals(toClass);" is 154.,1313,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Complex Method,Cyclomatic complexity of the method is 11,1598,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Magic Number,The method contains a magic number: 2,1598,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Magic Number,The method contains a magic number: 2,1598,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,SerializationUtils,serialize,Magic Number,The method contains a magic number: 512,244,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SerializationUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAscii,Magic Number,The method contains a magic number: 128,77,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiControl,Magic Number,The method contains a magic number: 32,172,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiControl,Magic Number,The method contains a magic number: 127,172,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiPrintable,Magic Number,The method contains a magic number: 32,230,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiPrintable,Magic Number,The method contains a magic number: 127,230,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,toIntValue,Magic Number,The method contains a magic number: 48,432,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,toIntValue,Magic Number,The method contains a magic number: 48,454,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 12,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 8,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 4,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,556,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,RuntimeEnvironment,readFile,Long Statement,The length of the statement "return Arrays.stream(lines).filter(line -> line.startsWith(prefix)).map(line -> line.split("="`2)).map(keyValue -> keyValue[1]).findFirst().orElse(null);" is 153.,111,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RuntimeEnvironment.java
commons-lang,org.apache.commons.lang3,RuntimeEnvironment,readFile,Magic Number,The method contains a magic number: 2,111,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RuntimeEnvironment.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Complex Method,Cyclomatic complexity of the method is 10,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Magic Number,The method contains a magic number: 3,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Magic Number,The method contains a magic number: 3,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Magic Number,The method contains a magic number: 2,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Magic Number,The method contains a magic number: 2,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryBeMsb0ToHexDigit,Magic Number,The method contains a magic number: 2,97,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToByte,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBools is complex.,146,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToByte,Long Parameter List,The method has 5 parameters. ,146,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Complex Method,Cyclomatic complexity of the method is 9,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Magic Number,The method contains a magic number: 3,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Magic Number,The method contains a magic number: 3,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Magic Number,The method contains a magic number: 2,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Magic Number,The method contains a magic number: 2,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigit,Magic Number,The method contains a magic number: 2,192,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigitMsb0_4bits,Complex Method,Cyclomatic complexity of the method is 10,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigitMsb0_4bits,Magic Number,The method contains a magic number: 4,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigitMsb0_4bits,Magic Number,The method contains a magic number: 3,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigitMsb0_4bits,Magic Number,The method contains a magic number: 2,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToHexDigitMsb0_4bits,Magic Number,The method contains a magic number: 2,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToInt,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBools is complex.,293,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToInt,Long Parameter List,The method has 5 parameters. ,293,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToLong,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBools is complex.,323,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToLong,Long Parameter List,The method has 5 parameters. ,323,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToShort,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBools is complex.,353,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,binaryToShort,Long Parameter List,The method has 5 parameters. ,353,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToInt,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBytes is complex.,383,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToInt,Long Parameter List,The method has 5 parameters. ,383,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToInt,Magic Number,The method contains a magic number: 0xff,383,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToInt,Magic Number,The method contains a magic number: 0xff,383,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToLong,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBytes is complex.,413,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToLong,Long Parameter List,The method has 5 parameters. ,413,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToLong,Magic Number,The method contains a magic number: 0xffL,413,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToLong,Magic Number,The method contains a magic number: 0xffL,413,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToShort,Complex Conditional,The conditional expression src.length == 0 && srcPos == 0 || 0 == nBytes is complex.,443,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToShort,Long Parameter List,The method has 5 parameters. ,443,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToShort,Magic Number,The method contains a magic number: 0xff,443,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToShort,Magic Number,The method contains a magic number: 0xff,443,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToUuid,Magic Number,The method contains a magic number: 16,473,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteArrayToUuid,Magic Number,The method contains a magic number: 8,473,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteToBinary,Long Parameter List,The method has 5 parameters. ,489,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteToHex,Long Parameter List,The method has 5 parameters. ,516,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteToHex,Magic Number,The method contains a magic number: 4,516,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteToHex,Magic Number,The method contains a magic number: 4,516,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,byteToHex,Magic Number,The method contains a magic number: 0xF,516,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToBinary,Complex Method,Cyclomatic complexity of the method is 23,550,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Complex Method,Cyclomatic complexity of the method is 23,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x8,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x4,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xC,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x2,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xA,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x6,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xE,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x9,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x5,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xD,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x3,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xB,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0x7,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitMsb0ToInt,Magic Number,The method contains a magic number: 0xF,606,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitToBinary,Complex Method,Cyclomatic complexity of the method is 23,662,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexDigitToInt,Magic Number,The method contains a magic number: 16,718,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToByte,Long Parameter List,The method has 5 parameters. ,737,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToByte,Magic Number,The method contains a magic number: 4,737,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToByte,Magic Number,The method contains a magic number: 4,737,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToByte,Magic Number,The method contains a magic number: 0xf,737,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToByte,Magic Number,The method contains a magic number: 0xf,737,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToInt,Long Parameter List,The method has 5 parameters. ,765,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToInt,Magic Number,The method contains a magic number: 4,765,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToInt,Magic Number,The method contains a magic number: 4,765,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToInt,Magic Number,The method contains a magic number: 0xf,765,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToInt,Magic Number,The method contains a magic number: 0xf,765,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToLong,Long Parameter List,The method has 5 parameters. ,793,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToLong,Magic Number,The method contains a magic number: 4,793,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToLong,Magic Number,The method contains a magic number: 4,793,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToLong,Magic Number,The method contains a magic number: 0xfL,793,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToLong,Magic Number,The method contains a magic number: 0xfL,793,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToShort,Long Parameter List,The method has 5 parameters. ,821,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToShort,Magic Number,The method contains a magic number: 4,821,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToShort,Magic Number,The method contains a magic number: 4,821,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToShort,Magic Number,The method contains a magic number: 0xf,821,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,Conversion,hexToShort,Magic Number,The method contains a magic number: 0xf,821,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
